State,school,Student Enrollment,Violent Crime,Murder and Nonnegligent Manslaughter,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-Theft,Motor Vehicle Theft,Arson
IL,elgin community college,"12,559",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
IL,eureka college,540,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
IL,harper college,"21,370",0.0,0.0,0.0,0.0,0.0,15,0.0,15.0,0.0,0.0
IL,illinois central college,"10,381",0.0,0.0,0.0,0.0,0.0,12,0.0,12.0,0.0,0.0
IL,illinois state university,"22,159",5.0,0.0,5.0,0.0,0.0,100,3.0,96.0,1.0,0.0
IL,john wood community college,"2,489",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
IL,joliet junior college,"20,068",1.0,0.0,1.0,0.0,0.0,11,0.0,11.0,0.0,0.0
IL,kankakee community college,"3,654",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
IL,lake land college,"8,533",1.0,0.0,0.0,0.0,1.0,1,1.0,0.0,0.0,0.0
IL,lewis university,"7,779",1.0,0.0,1.0,0.0,0.0,19,1.0,18.0,0.0,0.0
IL,lincoln land community college,"8,495",0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0
IL,loyola university of chicago,"19,998",1.0,0.0,1.0,0.0,0.0,48,0.0,48.0,0.0,0.0
IL,mchenry county college,"12,879",0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0
IL,millikin university,"2,124",0.0,0.0,0.0,0.0,0.0,15,0.0,15.0,0.0,0.0
IL,moraine valley community college,"17,409",0.0,0.0,0.0,0.0,0.0,2,0.0,2.0,0.0,0.0
IL,morton college,"5,414",0.0,0.0,0.0,0.0,0.0,3,0.0,3.0,0.0,0.0
IL,northeastern illinois university,"7,862",0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0
IL,northern illinois university,"18,324",21.0,0.0,16.0,1.0,4.0,112,12.0,98.0,2.0,1.0
IL,oakton community college,"13,820",0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0
IL,parkland college,"8,533",0.0,0.0,0.0,0.0,0.0,3,0.0,3.0,0.0,0.0
IL,rend lake college,"3,279",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
IL,richland community college,"3,488",0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0
IL,rock valley college,"9,175",0.0,0.0,0.0,0.0,0.0,6,0.0,5.0,1.0,0.0
IL,southern illinois university carbondale,"12,543",1.0,0.0,0.0,0.0,1.0,98,1.0,96.0,1.0,0.0
IL,southern illinois university school of medicine,,1.0,0.0,0.0,0.0,1.0,8,0.0,8.0,0.0,0.0
IL,south suburban college,"7,638",1.0,0.0,1.0,0.0,0.0,8,0.0,7.0,1.0,0.0
IL,southwestern illinois college,"14,474",1.0,0.0,0.0,1.0,0.0,10,4.0,6.0,0.0,0.0
IL,university of chicago cook county,"20,814",6.0,0.0,0.0,5.0,1.0,78,2.0,60.0,16.0,0.0
IL,university of illinois chicago,"37,397",14.0,0.0,3.0,2.0,9.0,324,18.0,293.0,13.0,1.0
IL,university of illinois springfield,"4,895",2.0,0.0,2.0,0.0,0.0,4,0.0,4.0,0.0,0.0
IL,university of illinois urbana,"62,303",91.0,0.0,15.0,7.0,69.0,827,109.0,606.0,112.0,4.0
IL,waubonsee community college,"13,675",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
IN,indiana state university,"10,788",4.0,0.0,2.0,0.0,2.0,70,3.0,63.0,4.0,0.0
IN,indiana university bloomington,"59,231",52.0,0.0,22.0,4.0,26.0,340,33.0,287.0,20.0,3.0
IN,indiana university south bend,"7,568",1.0,0.0,0.0,0.0,1.0,29,3.0,25.0,1.0,0.0
IN,purdue university,"54,814",8.0,0.0,1.0,0.0,7.0,377,9.0,361.0,7.0,1.0
IN,university of indianapolis,"5,851",0.0,0.0,0.0,0.0,0.0,41,6.0,28.0,7.0,0.0
IN,university of notre dame,"13,687",4.0,0.0,0.0,0.0,4.0,263,3.0,252.0,8.0,0.0
IA,iowa state university,"33,010",11.0,0.0,7.0,0.0,4.0,96,4.0,85.0,7.0,0.0
IA,university of iowa,"32,818",26.0,0.0,5.0,2.0,19.0,206,15.0,172.0,19.0,3.0
IA,university of northern iowa,"10,517",3.0,0.0,1.0,1.0,1.0,27,4.0,23.0,0.0,0.0
KS,university of kansas,"29,301",4.0,0.0,1.0,1.0,2.0,154,5.0,145.0,4.0,0.0
KS,university of kansas medical center,,22.0,0.0,0.0,1.0,21.0,266,1.0,235.0,30.0,0.0
KS,washburn university,"6,507",1.0,0.0,0.0,0.0,1.0,61,5.0,51.0,5.0,0.0
KY,eastern kentucky university,"16,584",7.0,0.0,6.0,0.0,1.0,80,14.0,66.0,0.0,0.0
KY,kentucky state university,"2,981",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
KY,morehead state university,"10,158",3.0,0.0,2.0,0.0,1.0,18,0.0,16.0,2.0,0.0
KY,murray state university,"10,885",1.0,0.0,1.0,0.0,0.0,44,2.0,41.0,1.0,0.0
KY,northern kentucky university,"19,380",3.0,0.0,2.0,0.0,1.0,29,2.0,27.0,0.0,0.0
KY,university of kentucky,"32,909",19.0,0.0,4.0,4.0,11.0,419,13.0,372.0,34.0,0.0
KY,university of louisville,"26,161",8.0,0.0,3.0,2.0,3.0,229,20.0,175.0,34.0,1.0
KY,western kentucky university,"19,768",5.0,0.0,3.0,0.0,2.0,91,6.0,84.0,1.0,0.0
LA,louisiana state university baton rouge,"39,475",21.0,0.0,7.0,3.0,11.0,335,76.0,221.0,38.0,0.0
LA,louisiana state university health sciences center shreveport,"1,179",7.0,0.0,1.0,1.0,5.0,19,0.0,16.0,3.0,0.0
LA,southern university and a&m college new orleans,"2,746",0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
LA,tulane university,"15,270",1.0,0.0,0.0,1.0,0.0,120,10.0,103.0,7.0,1.0
ME,university of maine farmington,"2,259",0.0,0.0,0.0,0.0,0.0,6,0.0,5.0,1.0,1.0
ME,university of maine orono,"15,005",0.0,0.0,0.0,0.0,0.0,62,3.0,59.0,0.0,0.0
ME,university of southern maine,"10,236",0.0,0.0,0.0,0.0,0.0,29,2.0,27.0,0.0,1.0
MD,bowie state university,"6,960",12.0,0.0,0.0,3.0,9.0,40,4.0,33.0,3.0,0.0
MD,coppin state university,"2,326",0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0
MD,frostburg state university,"4,959",4.0,0.0,4.0,0.0,0.0,11,5.0,6.0,0.0,0.0
MD,hagerstown community college,"4,871",0.0,0.0,0.0,0.0,0.0,3,2.0,1.0,0.0,0.0
MD,morgan state university,"9,224",39.0,0.0,5.0,3.0,31.0,45,1.0,39.0,5.0,0.0
